value label	orig_label	label_short	label_short_hemi	hemisphere	tissue	major_compartment	compartment	roi_order	roi_group	label_group
201	hippocampus_CA2_pyramidal_right	310	CA2py	CA2py_right	right	gm	cerebrum	hippocampus CA2	201	50	hippocampus CA2 right
202	hippocampus_CA2_stratum_oriens_right	312	CA2or	CA2or_right	right	gm	cerebrum	hippocampus CA2	202	50	hippocampus CA2 right
203	hippocampus_CA2_stratum_radiatum_right	314	CA2rad	CA2rad_right	right	gm	cerebrum	hippocampus CA2	203	50	hippocampus CA2 right
204	hippocampus_CA3_inner_pyramidal_right	316	CA3ipy	CA3ipy_right	right	gm	cerebrum	hippocampus CA3	204	51	hippocampus CA3 right
205	hippocampus_CA3_outer_pyramidal_right	318	CA3opy	CA3opy_right	right	gm	cerebrum	hippocampus CA3	205	51	hippocampus CA3 right
206	hippocampus_CA3_stratum_oriens_right	320	CA3or	CA3or_right	right	gm	cerebrum	hippocampus CA3	206	51	hippocampus CA3 right
207	hippocampus_CA3_stratum_radiatum_right	322	CA3rad	CA3rad_right	right	gm	cerebrum	hippocampus CA3	207	51	hippocampus CA3 right
208	hippocampus_CA3_stratum_lucidum_right	324	CA3sl	CA3sl_right	right	gm	cerebrum	hippocampus CA3	208	51	hippocampus CA3 right
209	hippocampus_dentate_gyrus_molecular_right	326	DGm	DGm_right	right	gm	cerebrum	hippocampus dentate	209	52	hippocampus dentate right
210	hippocampus_dentate_gyrus_granular_external_right	328	DGgre	DGgre_right	right	gm	cerebrum	hippocampus dentate	210	52	hippocampus dentate right
211	hippocampus_dentate_gyrus_granular_internal_right	330	DGgri	DGgri_right	right	gm	cerebrum	hippocampus dentate	211	52	hippocampus dentate right
212	amygdala_lateral_right	51	lAMG	lAMG_right	right	gm	cerebrum	amygdala	212	53	amygdala right
213	amygdala_medial_right	353	mAMG	mAMG_right	right	gm	cerebrum	amygdala	213	53	amygdala right
214	amygdalopiriform_transition_area_right	42	Apir	Apir_right	right	gm	cerebrum	amygdala extended	214	54	amygdala extended right
215	corticoamygdalar_transition_zone_right	60	CATZ	CATZ_right	right	gm	cerebrum	amygdala extended	215	54	amygdala extended right
216	corticoamygdaloid_area_posterolateral_right	88	cxAMGpl	cxAMGpl_right	right	gm	cerebrum	amygdala extended	216	54	amygdala extended right
217	corticoamygdaloid_area_posteromedial_right	89	csAMGpm	csAMGpm_right	right	gm	cerebrum	amygdala extended	217	54	amygdala extended right
218	rostral_amygdalopiriform_area_right	110	rAMGPIR	rAMGPIR_right	right	gm	cerebrum	amygdala extended	218	54	amygdala extended right
